,filepath,writer,label
45,full_forg\forgeries_11_7.png,11_7,1
46,full_forg\forgeries_11_8.png,11_8,1
47,full_forg\forgeries_11_9.png,11_9,1
48,full_forg\forgeries_12_1.png,12_1,1
49,full_forg\forgeries_12_10.png,12_10,1
50,full_forg\forgeries_12_11.png,12_11,1
51,full_forg\forgeries_12_12.png,12_12,1
52,full_forg\forgeries_12_13.png,12_13,1
53,full_forg\forgeries_12_14.png,12_14,1
54,full_forg\forgeries_12_15.png,12_15,1
55,full_forg\forgeries_12_16.png,12_16,1
56,full_forg\forgeries_12_17.png,12_17,1
57,full_forg\forgeries_12_18.png,12_18,1
58,full_forg\forgeries_12_19.png,12_19,1
59,full_forg\forgeries_12_2.png,12_2,1
60,full_forg\forgeries_12_20.png,12_20,1
61,full_forg\forgeries_12_21.png,12_21,1
62,full_forg\forgeries_12_22.png,12_22,1
63,full_forg\forgeries_12_23.png,12_23,1
64,full_forg\forgeries_12_24.png,12_24,1
65,full_forg\forgeries_12_3.png,12_3,1
66,full_forg\forgeries_12_4.png,12_4,1
67,full_forg\forgeries_12_5.png,12_5,1
68,full_forg\forgeries_12_6.png,12_6,1
69,full_forg\forgeries_12_7.png,12_7,1
70,full_forg\forgeries_12_8.png,12_8,1
71,full_forg\forgeries_12_9.png,12_9,1
72,full_forg\forgeries_13_1.png,13_1,1
73,full_forg\forgeries_13_10.png,13_10,1
74,full_forg\forgeries_13_11.png,13_11,1
75,full_forg\forgeries_13_12.png,13_12,1
76,full_forg\forgeries_13_13.png,13_13,1
77,full_forg\forgeries_13_14.png,13_14,1
78,full_forg\forgeries_13_15.png,13_15,1
79,full_forg\forgeries_13_16.png,13_16,1
80,full_forg\forgeries_13_17.png,13_17,1
81,full_forg\forgeries_13_18.png,13_18,1
82,full_forg\forgeries_13_19.png,13_19,1
83,full_forg\forgeries_13_2.png,13_2,1
84,full_forg\forgeries_13_20.png,13_20,1
85,full_forg\forgeries_13_21.png,13_21,1
86,full_forg\forgeries_13_22.png,13_22,1
87,full_forg\forgeries_13_23.png,13_23,1
88,full_forg\forgeries_13_24.png,13_24,1
89,full_forg\forgeries_13_3.png,13_3,1
90,full_forg\forgeries_13_4.png,13_4,1
91,full_forg\forgeries_13_5.png,13_5,1
92,full_forg\forgeries_13_6.png,13_6,1
93,full_forg\forgeries_13_7.png,13_7,1
94,full_forg\forgeries_13_8.png,13_8,1
95,full_forg\forgeries_13_9.png,13_9,1
96,full_forg\forgeries_14_1.png,14_1,1
97,full_forg\forgeries_14_10.png,14_10,1
98,full_forg\forgeries_14_11.png,14_11,1
99,full_forg\forgeries_14_12.png,14_12,1
100,full_forg\forgeries_14_13.png,14_13,1
101,full_forg\forgeries_14_14.png,14_14,1
102,full_forg\forgeries_14_15.png,14_15,1
103,full_forg\forgeries_14_16.png,14_16,1
104,full_forg\forgeries_14_17.png,14_17,1
105,full_forg\forgeries_14_18.png,14_18,1
106,full_forg\forgeries_14_19.png,14_19,1
107,full_forg\forgeries_14_2.png,14_2,1
108,full_forg\forgeries_14_20.png,14_20,1
109,full_forg\forgeries_14_21.png,14_21,1
110,full_forg\forgeries_14_22.png,14_22,1
111,full_forg\forgeries_14_23.png,14_23,1
112,full_forg\forgeries_14_24.png,14_24,1
113,full_forg\forgeries_14_3.png,14_3,1
114,full_forg\forgeries_14_4.png,14_4,1
115,full_forg\forgeries_14_5.png,14_5,1
116,full_forg\forgeries_14_6.png,14_6,1
117,full_forg\forgeries_14_7.png,14_7,1
118,full_forg\forgeries_14_8.png,14_8,1
119,full_forg\forgeries_14_9.png,14_9,1
120,full_forg\forgeries_15_1.png,15_1,1
121,full_forg\forgeries_15_10.png,15_10,1
122,full_forg\forgeries_15_11.png,15_11,1
123,full_forg\forgeries_15_12.png,15_12,1
124,full_forg\forgeries_15_13.png,15_13,1
125,full_forg\forgeries_15_14.png,15_14,1
126,full_forg\forgeries_15_15.png,15_15,1
127,full_forg\forgeries_15_16.png,15_16,1
128,full_forg\forgeries_15_17.png,15_17,1
129,full_forg\forgeries_15_18.png,15_18,1
130,full_forg\forgeries_15_19.png,15_19,1
131,full_forg\forgeries_15_2.png,15_2,1
132,full_forg\forgeries_15_20.png,15_20,1
133,full_forg\forgeries_15_21.png,15_21,1
134,full_forg\forgeries_15_22.png,15_22,1
135,full_forg\forgeries_15_23.png,15_23,1
136,full_forg\forgeries_15_24.png,15_24,1
137,full_forg\forgeries_15_3.png,15_3,1
138,full_forg\forgeries_15_4.png,15_4,1
139,full_forg\forgeries_15_5.png,15_5,1
140,full_forg\forgeries_15_6.png,15_6,1
141,full_forg\forgeries_15_7.png,15_7,1
142,full_forg\forgeries_15_8.png,15_8,1
143,full_forg\forgeries_15_9.png,15_9,1
144,full_forg\forgeries_16_1.png,16_1,1
145,full_forg\forgeries_16_10.png,16_10,1
146,full_forg\forgeries_16_11.png,16_11,1
147,full_forg\forgeries_16_12.png,16_12,1
148,full_forg\forgeries_16_13.png,16_13,1
149,full_forg\forgeries_16_14.png,16_14,1
150,full_forg\forgeries_16_15.png,16_15,1
151,full_forg\forgeries_16_16.png,16_16,1
152,full_forg\forgeries_16_17.png,16_17,1
153,full_forg\forgeries_16_18.png,16_18,1
154,full_forg\forgeries_16_19.png,16_19,1
155,full_forg\forgeries_16_2.png,16_2,1
156,full_forg\forgeries_16_20.png,16_20,1
157,full_forg\forgeries_16_21.png,16_21,1
158,full_forg\forgeries_16_22.png,16_22,1
159,full_forg\forgeries_16_23.png,16_23,1
160,full_forg\forgeries_16_24.png,16_24,1
161,full_forg\forgeries_16_3.png,16_3,1
162,full_forg\forgeries_16_4.png,16_4,1
163,full_forg\forgeries_16_5.png,16_5,1
164,full_forg\forgeries_16_6.png,16_6,1
165,full_forg\forgeries_16_7.png,16_7,1
166,full_forg\forgeries_16_8.png,16_8,1
167,full_forg\forgeries_16_9.png,16_9,1
168,full_forg\forgeries_17_1.png,17_1,1
169,full_forg\forgeries_17_10.png,17_10,1
170,full_forg\forgeries_17_11.png,17_11,1
171,full_forg\forgeries_17_12.png,17_12,1
172,full_forg\forgeries_17_13.png,17_13,1
173,full_forg\forgeries_17_14.png,17_14,1
174,full_forg\forgeries_17_15.png,17_15,1
175,full_forg\forgeries_17_16.png,17_16,1
176,full_forg\forgeries_17_17.png,17_17,1
177,full_forg\forgeries_17_18.png,17_18,1
178,full_forg\forgeries_17_19.png,17_19,1
179,full_forg\forgeries_17_2.png,17_2,1
180,full_forg\forgeries_17_20.png,17_20,1
181,full_forg\forgeries_17_21.png,17_21,1
182,full_forg\forgeries_17_22.png,17_22,1
183,full_forg\forgeries_17_23.png,17_23,1
184,full_forg\forgeries_17_24.png,17_24,1
185,full_forg\forgeries_17_3.png,17_3,1
186,full_forg\forgeries_17_4.png,17_4,1
187,full_forg\forgeries_17_5.png,17_5,1
188,full_forg\forgeries_17_6.png,17_6,1
189,full_forg\forgeries_17_7.png,17_7,1
190,full_forg\forgeries_17_8.png,17_8,1
191,full_forg\forgeries_17_9.png,17_9,1
192,full_forg\forgeries_18_1.png,18_1,1
193,full_forg\forgeries_18_10.png,18_10,1
194,full_forg\forgeries_18_11.png,18_11,1
195,full_forg\forgeries_18_12.png,18_12,1
196,full_forg\forgeries_18_13.png,18_13,1
197,full_forg\forgeries_18_14.png,18_14,1
198,full_forg\forgeries_18_15.png,18_15,1
199,full_forg\forgeries_18_16.png,18_16,1
200,full_forg\forgeries_18_17.png,18_17,1
201,full_forg\forgeries_18_18.png,18_18,1
202,full_forg\forgeries_18_19.png,18_19,1
203,full_forg\forgeries_18_2.png,18_2,1
204,full_forg\forgeries_18_20.png,18_20,1
205,full_forg\forgeries_18_21.png,18_21,1
206,full_forg\forgeries_18_22.png,18_22,1
207,full_forg\forgeries_18_23.png,18_23,1
208,full_forg\forgeries_18_24.png,18_24,1
209,full_forg\forgeries_18_3.png,18_3,1
210,full_forg\forgeries_18_4.png,18_4,1
211,full_forg\forgeries_18_5.png,18_5,1
212,full_forg\forgeries_18_6.png,18_6,1
213,full_forg\forgeries_18_7.png,18_7,1
214,full_forg\forgeries_18_8.png,18_8,1
215,full_forg\forgeries_18_9.png,18_9,1
216,full_forg\forgeries_19_1.png,19_1,1
217,full_forg\forgeries_19_10.png,19_10,1
218,full_forg\forgeries_19_11.png,19_11,1
219,full_forg\forgeries_19_12.png,19_12,1
220,full_forg\forgeries_19_13.png,19_13,1
221,full_forg\forgeries_19_14.png,19_14,1
222,full_forg\forgeries_19_15.png,19_15,1
223,full_forg\forgeries_19_16.png,19_16,1
224,full_forg\forgeries_19_17.png,19_17,1
225,full_forg\forgeries_19_18.png,19_18,1
226,full_forg\forgeries_19_19.png,19_19,1
227,full_forg\forgeries_19_2.png,19_2,1
228,full_forg\forgeries_19_20.png,19_20,1
229,full_forg\forgeries_19_21.png,19_21,1
230,full_forg\forgeries_19_22.png,19_22,1
231,full_forg\forgeries_19_23.png,19_23,1
232,full_forg\forgeries_19_24.png,19_24,1
233,full_forg\forgeries_19_3.png,19_3,1
234,full_forg\forgeries_19_4.png,19_4,1
235,full_forg\forgeries_19_5.png,19_5,1
236,full_forg\forgeries_19_6.png,19_6,1
237,full_forg\forgeries_19_7.png,19_7,1
238,full_forg\forgeries_19_8.png,19_8,1
239,full_forg\forgeries_19_9.png,19_9,1
240,full_forg\forgeries_1_1.png,1_1,1
241,full_forg\forgeries_1_10.png,1_10,1
242,full_forg\forgeries_1_11.png,1_11,1
243,full_forg\forgeries_1_12.png,1_12,1
244,full_forg\forgeries_1_13.png,1_13,1
245,full_forg\forgeries_1_14.png,1_14,1
246,full_forg\forgeries_1_15.png,1_15,1
247,full_forg\forgeries_1_16.png,1_16,1
248,full_forg\forgeries_1_17.png,1_17,1
249,full_forg\forgeries_1_18.png,1_18,1
250,full_forg\forgeries_1_19.png,1_19,1
251,full_forg\forgeries_1_2.png,1_2,1
252,full_forg\forgeries_1_20.png,1_20,1
253,full_forg\forgeries_1_21.png,1_21,1
254,full_forg\forgeries_1_22.png,1_22,1
255,full_forg\forgeries_1_23.png,1_23,1
256,full_forg\forgeries_1_24.png,1_24,1
257,full_forg\forgeries_1_3.png,1_3,1
258,full_forg\forgeries_1_4.png,1_4,1
259,full_forg\forgeries_1_5.png,1_5,1
260,full_forg\forgeries_1_6.png,1_6,1
261,full_forg\forgeries_1_7.png,1_7,1
262,full_forg\forgeries_1_8.png,1_8,1
263,full_forg\forgeries_1_9.png,1_9,1
264,full_forg\forgeries_20_1.png,20_1,1
265,full_forg\forgeries_20_10.png,20_10,1
266,full_forg\forgeries_20_11.png,20_11,1
267,full_forg\forgeries_20_12.png,20_12,1
268,full_forg\forgeries_20_13.png,20_13,1
269,full_forg\forgeries_20_14.png,20_14,1
270,full_forg\forgeries_20_15.png,20_15,1
271,full_forg\forgeries_20_16.png,20_16,1
272,full_forg\forgeries_20_17.png,20_17,1
273,full_forg\forgeries_20_18.png,20_18,1
274,full_forg\forgeries_20_19.png,20_19,1
275,full_forg\forgeries_20_2.png,20_2,1
276,full_forg\forgeries_20_20.png,20_20,1
277,full_forg\forgeries_20_21.png,20_21,1
278,full_forg\forgeries_20_22.png,20_22,1
279,full_forg\forgeries_20_23.png,20_23,1
280,full_forg\forgeries_20_24.png,20_24,1
281,full_forg\forgeries_20_3.png,20_3,1
282,full_forg\forgeries_20_4.png,20_4,1
283,full_forg\forgeries_20_5.png,20_5,1
284,full_forg\forgeries_20_6.png,20_6,1
285,full_forg\forgeries_20_7.png,20_7,1
286,full_forg\forgeries_20_8.png,20_8,1
287,full_forg\forgeries_20_9.png,20_9,1
288,full_forg\forgeries_21_1.png,21_1,1
289,full_forg\forgeries_21_10.png,21_10,1
290,full_forg\forgeries_21_11.png,21_11,1
291,full_forg\forgeries_21_12.png,21_12,1
292,full_forg\forgeries_21_13.png,21_13,1
293,full_forg\forgeries_21_14.png,21_14,1
294,full_forg\forgeries_21_15.png,21_15,1
295,full_forg\forgeries_21_16.png,21_16,1
296,full_forg\forgeries_21_17.png,21_17,1
297,full_forg\forgeries_21_18.png,21_18,1
298,full_forg\forgeries_21_19.png,21_19,1
299,full_forg\forgeries_21_2.png,21_2,1
300,full_forg\forgeries_21_20.png,21_20,1
301,full_forg\forgeries_21_21.png,21_21,1
302,full_forg\forgeries_21_22.png,21_22,1
303,full_forg\forgeries_21_23.png,21_23,1
304,full_forg\forgeries_21_24.png,21_24,1
305,full_forg\forgeries_21_3.png,21_3,1
306,full_forg\forgeries_21_4.png,21_4,1
307,full_forg\forgeries_21_5.png,21_5,1
308,full_forg\forgeries_21_6.png,21_6,1
309,full_forg\forgeries_21_7.png,21_7,1
310,full_forg\forgeries_21_8.png,21_8,1
311,full_forg\forgeries_21_9.png,21_9,1
312,full_forg\forgeries_22_1.png,22_1,1
313,full_forg\forgeries_22_10.png,22_10,1
314,full_forg\forgeries_22_11.png,22_11,1
315,full_forg\forgeries_22_12.png,22_12,1
316,full_forg\forgeries_22_13.png,22_13,1
317,full_forg\forgeries_22_14.png,22_14,1
318,full_forg\forgeries_22_15.png,22_15,1
319,full_forg\forgeries_22_16.png,22_16,1
320,full_forg\forgeries_22_17.png,22_17,1
321,full_forg\forgeries_22_18.png,22_18,1
322,full_forg\forgeries_22_19.png,22_19,1
323,full_forg\forgeries_22_2.png,22_2,1
324,full_forg\forgeries_22_20.png,22_20,1
325,full_forg\forgeries_22_21.png,22_21,1
326,full_forg\forgeries_22_22.png,22_22,1
327,full_forg\forgeries_22_23.png,22_23,1
328,full_forg\forgeries_22_24.png,22_24,1
329,full_forg\forgeries_22_3.png,22_3,1
330,full_forg\forgeries_22_4.png,22_4,1
331,full_forg\forgeries_22_5.png,22_5,1
332,full_forg\forgeries_22_6.png,22_6,1
333,full_forg\forgeries_22_7.png,22_7,1
334,full_forg\forgeries_22_8.png,22_8,1
335,full_forg\forgeries_22_9.png,22_9,1
336,full_forg\forgeries_23_1.png,23_1,1
337,full_forg\forgeries_23_10.png,23_10,1
338,full_forg\forgeries_23_11.png,23_11,1
339,full_forg\forgeries_23_12.png,23_12,1
340,full_forg\forgeries_23_13.png,23_13,1
341,full_forg\forgeries_23_14.png,23_14,1
342,full_forg\forgeries_23_15.png,23_15,1
343,full_forg\forgeries_23_16.png,23_16,1
344,full_forg\forgeries_23_17.png,23_17,1
345,full_forg\forgeries_23_18.png,23_18,1
346,full_forg\forgeries_23_19.png,23_19,1
347,full_forg\forgeries_23_2.png,23_2,1
348,full_forg\forgeries_23_20.png,23_20,1
349,full_forg\forgeries_23_21.png,23_21,1
350,full_forg\forgeries_23_22.png,23_22,1
351,full_forg\forgeries_23_23.png,23_23,1
352,full_forg\forgeries_23_24.png,23_24,1
353,full_forg\forgeries_23_3.png,23_3,1
354,full_forg\forgeries_23_4.png,23_4,1
355,full_forg\forgeries_23_5.png,23_5,1
356,full_forg\forgeries_23_6.png,23_6,1
357,full_forg\forgeries_23_7.png,23_7,1
358,full_forg\forgeries_23_8.png,23_8,1
359,full_forg\forgeries_23_9.png,23_9,1
360,full_forg\forgeries_24_1.png,24_1,1
361,full_forg\forgeries_24_10.png,24_10,1
362,full_forg\forgeries_24_11.png,24_11,1
363,full_forg\forgeries_24_12.png,24_12,1
364,full_forg\forgeries_24_13.png,24_13,1
365,full_forg\forgeries_24_14.png,24_14,1
366,full_forg\forgeries_24_15.png,24_15,1
367,full_forg\forgeries_24_16.png,24_16,1
368,full_forg\forgeries_24_17.png,24_17,1
369,full_forg\forgeries_24_18.png,24_18,1
370,full_forg\forgeries_24_19.png,24_19,1
371,full_forg\forgeries_24_2.png,24_2,1
372,full_forg\forgeries_24_20.png,24_20,1
373,full_forg\forgeries_24_21.png,24_21,1
374,full_forg\forgeries_24_22.png,24_22,1
375,full_forg\forgeries_24_23.png,24_23,1
376,full_forg\forgeries_24_24.png,24_24,1
377,full_forg\forgeries_24_3.png,24_3,1
378,full_forg\forgeries_24_4.png,24_4,1
379,full_forg\forgeries_24_5.png,24_5,1
380,full_forg\forgeries_24_6.png,24_6,1
381,full_forg\forgeries_24_7.png,24_7,1
382,full_forg\forgeries_24_8.png,24_8,1
383,full_forg\forgeries_24_9.png,24_9,1
384,full_forg\forgeries_25_1.png,25_1,1
385,full_forg\forgeries_25_10.png,25_10,1
386,full_forg\forgeries_25_11.png,25_11,1
387,full_forg\forgeries_25_12.png,25_12,1
388,full_forg\forgeries_25_13.png,25_13,1
389,full_forg\forgeries_25_14.png,25_14,1
390,full_forg\forgeries_25_15.png,25_15,1
391,full_forg\forgeries_25_16.png,25_16,1
392,full_forg\forgeries_25_17.png,25_17,1
393,full_forg\forgeries_25_18.png,25_18,1
394,full_forg\forgeries_25_19.png,25_19,1
395,full_forg\forgeries_25_2.png,25_2,1
396,full_forg\forgeries_25_20.png,25_20,1
397,full_forg\forgeries_25_21.png,25_21,1
398,full_forg\forgeries_25_22.png,25_22,1
399,full_forg\forgeries_25_23.png,25_23,1
400,full_forg\forgeries_25_24.png,25_24,1
401,full_forg\forgeries_25_3.png,25_3,1
402,full_forg\forgeries_25_4.png,25_4,1
403,full_forg\forgeries_25_5.png,25_5,1
404,full_forg\forgeries_25_6.png,25_6,1
405,full_forg\forgeries_25_7.png,25_7,1
406,full_forg\forgeries_25_8.png,25_8,1
407,full_forg\forgeries_25_9.png,25_9,1
408,full_forg\forgeries_26_1.png,26_1,1
409,full_forg\forgeries_26_10.png,26_10,1
410,full_forg\forgeries_26_11.png,26_11,1
411,full_forg\forgeries_26_12.png,26_12,1
412,full_forg\forgeries_26_13.png,26_13,1
413,full_forg\forgeries_26_14.png,26_14,1
414,full_forg\forgeries_26_15.png,26_15,1
415,full_forg\forgeries_26_16.png,26_16,1
416,full_forg\forgeries_26_17.png,26_17,1
417,full_forg\forgeries_26_18.png,26_18,1
418,full_forg\forgeries_26_19.png,26_19,1
419,full_forg\forgeries_26_2.png,26_2,1
420,full_forg\forgeries_26_20.png,26_20,1
421,full_forg\forgeries_26_21.png,26_21,1
422,full_forg\forgeries_26_22.png,26_22,1
423,full_forg\forgeries_26_23.png,26_23,1
424,full_forg\forgeries_26_24.png,26_24,1
425,full_forg\forgeries_26_3.png,26_3,1
426,full_forg\forgeries_26_4.png,26_4,1
427,full_forg\forgeries_26_5.png,26_5,1
428,full_forg\forgeries_26_6.png,26_6,1
429,full_forg\forgeries_26_7.png,26_7,1
430,full_forg\forgeries_26_8.png,26_8,1
431,full_forg\forgeries_26_9.png,26_9,1
432,full_forg\forgeries_27_1.png,27_1,1
433,full_forg\forgeries_27_10.png,27_10,1
434,full_forg\forgeries_27_11.png,27_11,1
435,full_forg\forgeries_27_12.png,27_12,1
436,full_forg\forgeries_27_13.png,27_13,1
437,full_forg\forgeries_27_14.png,27_14,1
438,full_forg\forgeries_27_15.png,27_15,1
439,full_forg\forgeries_27_16.png,27_16,1
440,full_forg\forgeries_27_17.png,27_17,1
441,full_forg\forgeries_27_18.png,27_18,1
442,full_forg\forgeries_27_19.png,27_19,1
443,full_forg\forgeries_27_2.png,27_2,1
444,full_forg\forgeries_27_20.png,27_20,1
445,full_forg\forgeries_27_21.png,27_21,1
446,full_forg\forgeries_27_22.png,27_22,1
447,full_forg\forgeries_27_23.png,27_23,1
448,full_forg\forgeries_27_24.png,27_24,1
449,full_forg\forgeries_27_3.png,27_3,1
450,full_forg\forgeries_27_4.png,27_4,1
451,full_forg\forgeries_27_5.png,27_5,1
452,full_forg\forgeries_27_6.png,27_6,1
453,full_forg\forgeries_27_7.png,27_7,1
454,full_forg\forgeries_27_8.png,27_8,1
455,full_forg\forgeries_27_9.png,27_9,1
456,full_forg\forgeries_28_1.png,28_1,1
457,full_forg\forgeries_28_10.png,28_10,1
458,full_forg\forgeries_28_11.png,28_11,1
459,full_forg\forgeries_28_12.png,28_12,1
460,full_forg\forgeries_28_13.png,28_13,1
461,full_forg\forgeries_28_14.png,28_14,1
462,full_forg\forgeries_28_15.png,28_15,1
463,full_forg\forgeries_28_16.png,28_16,1
464,full_forg\forgeries_28_17.png,28_17,1
465,full_forg\forgeries_28_18.png,28_18,1
466,full_forg\forgeries_28_19.png,28_19,1
467,full_forg\forgeries_28_2.png,28_2,1
468,full_forg\forgeries_28_20.png,28_20,1
469,full_forg\forgeries_28_21.png,28_21,1
470,full_forg\forgeries_28_22.png,28_22,1
471,full_forg\forgeries_28_23.png,28_23,1
472,full_forg\forgeries_28_24.png,28_24,1
473,full_forg\forgeries_28_3.png,28_3,1
474,full_forg\forgeries_28_4.png,28_4,1
475,full_forg\forgeries_28_5.png,28_5,1
476,full_forg\forgeries_28_6.png,28_6,1
477,full_forg\forgeries_28_7.png,28_7,1
478,full_forg\forgeries_28_8.png,28_8,1
479,full_forg\forgeries_28_9.png,28_9,1
480,full_forg\forgeries_29_1.png,29_1,1
481,full_forg\forgeries_29_10.png,29_10,1
482,full_forg\forgeries_29_11.png,29_11,1
483,full_forg\forgeries_29_12.png,29_12,1
484,full_forg\forgeries_29_13.png,29_13,1
485,full_forg\forgeries_29_14.png,29_14,1
486,full_forg\forgeries_29_15.png,29_15,1
487,full_forg\forgeries_29_16.png,29_16,1
488,full_forg\forgeries_29_17.png,29_17,1
489,full_forg\forgeries_29_18.png,29_18,1
490,full_forg\forgeries_29_19.png,29_19,1
491,full_forg\forgeries_29_2.png,29_2,1
492,full_forg\forgeries_29_20.png,29_20,1
493,full_forg\forgeries_29_21.png,29_21,1
494,full_forg\forgeries_29_22.png,29_22,1
495,full_forg\forgeries_29_23.png,29_23,1
496,full_forg\forgeries_29_24.png,29_24,1
497,full_forg\forgeries_29_3.png,29_3,1
498,full_forg\forgeries_29_4.png,29_4,1
499,full_forg\forgeries_29_5.png,29_5,1
500,full_forg\forgeries_29_6.png,29_6,1
501,full_forg\forgeries_29_7.png,29_7,1
502,full_forg\forgeries_29_8.png,29_8,1
503,full_forg\forgeries_29_9.png,29_9,1
504,full_forg\forgeries_2_1.png,2_1,1
505,full_forg\forgeries_2_10.png,2_10,1
506,full_forg\forgeries_2_11.png,2_11,1
507,full_forg\forgeries_2_12.png,2_12,1
508,full_forg\forgeries_2_13.png,2_13,1
509,full_forg\forgeries_2_14.png,2_14,1
510,full_forg\forgeries_2_15.png,2_15,1
511,full_forg\forgeries_2_16.png,2_16,1
512,full_forg\forgeries_2_17.png,2_17,1
513,full_forg\forgeries_2_18.png,2_18,1
514,full_forg\forgeries_2_19.png,2_19,1
515,full_forg\forgeries_2_2.png,2_2,1
516,full_forg\forgeries_2_20.png,2_20,1
517,full_forg\forgeries_2_21.png,2_21,1
518,full_forg\forgeries_2_22.png,2_22,1
519,full_forg\forgeries_2_23.png,2_23,1
520,full_forg\forgeries_2_24.png,2_24,1
521,full_forg\forgeries_2_3.png,2_3,1
522,full_forg\forgeries_2_4.png,2_4,1
523,full_forg\forgeries_2_5.png,2_5,1
524,full_forg\forgeries_2_6.png,2_6,1
525,full_forg\forgeries_2_7.png,2_7,1
526,full_forg\forgeries_2_8.png,2_8,1
527,full_forg\forgeries_2_9.png,2_9,1
528,full_forg\forgeries_30_1.png,30_1,1
529,full_forg\forgeries_30_10.png,30_10,1
530,full_forg\forgeries_30_11.png,30_11,1
531,full_forg\forgeries_30_12.png,30_12,1
532,full_forg\forgeries_30_13.png,30_13,1
533,full_forg\forgeries_30_14.png,30_14,1
534,full_forg\forgeries_30_15.png,30_15,1
535,full_forg\forgeries_30_16.png,30_16,1
536,full_forg\forgeries_30_17.png,30_17,1
537,full_forg\forgeries_30_18.png,30_18,1
538,full_forg\forgeries_30_19.png,30_19,1
539,full_forg\forgeries_30_2.png,30_2,1
540,full_forg\forgeries_30_20.png,30_20,1
541,full_forg\forgeries_30_21.png,30_21,1
542,full_forg\forgeries_30_22.png,30_22,1
543,full_forg\forgeries_30_23.png,30_23,1
544,full_forg\forgeries_30_24.png,30_24,1
545,full_forg\forgeries_30_3.png,30_3,1
546,full_forg\forgeries_30_4.png,30_4,1
547,full_forg\forgeries_30_5.png,30_5,1
548,full_forg\forgeries_30_6.png,30_6,1
549,full_forg\forgeries_30_7.png,30_7,1
550,full_forg\forgeries_30_8.png,30_8,1
551,full_forg\forgeries_30_9.png,30_9,1
552,full_forg\forgeries_31_1.png,31_1,1
553,full_forg\forgeries_31_10.png,31_10,1
554,full_forg\forgeries_31_11.png,31_11,1
555,full_forg\forgeries_31_12.png,31_12,1
556,full_forg\forgeries_31_13.png,31_13,1
557,full_forg\forgeries_31_14.png,31_14,1
558,full_forg\forgeries_31_15.png,31_15,1
559,full_forg\forgeries_31_16.png,31_16,1
560,full_forg\forgeries_31_17.png,31_17,1
561,full_forg\forgeries_31_18.png,31_18,1
562,full_forg\forgeries_31_19.png,31_19,1
563,full_forg\forgeries_31_2.png,31_2,1
564,full_forg\forgeries_31_20.png,31_20,1
565,full_forg\forgeries_31_21.png,31_21,1
566,full_forg\forgeries_31_22.png,31_22,1
567,full_forg\forgeries_31_23.png,31_23,1
568,full_forg\forgeries_31_24.png,31_24,1
569,full_forg\forgeries_31_3.png,31_3,1
570,full_forg\forgeries_31_4.png,31_4,1
571,full_forg\forgeries_31_5.png,31_5,1
572,full_forg\forgeries_31_6.png,31_6,1
573,full_forg\forgeries_31_7.png,31_7,1
574,full_forg\forgeries_31_8.png,31_8,1
575,full_forg\forgeries_31_9.png,31_9,1
576,full_forg\forgeries_32_1.png,32_1,1
577,full_forg\forgeries_32_10.png,32_10,1
578,full_forg\forgeries_32_11.png,32_11,1
579,full_forg\forgeries_32_12.png,32_12,1
580,full_forg\forgeries_32_13.png,32_13,1
581,full_forg\forgeries_32_14.png,32_14,1
